Income_2019,Income_2020,Percent_Change_2020,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
"34,817","36,583",5.1,93720.35,0.85605,11.17,9958.13,0.85924,691.25,18166.06,1.07558,315.83,11116.79,0.99556,2383.58
"31,554","33,395",5.8,*,*,*,8905.24,0.8727,501.08,16906.2,1.0185,251.42,9107.69,1.03019,2032.75
"45,295","47,422",4.7,86271.78,1.03693,76.25,8954.64,0.87314,969.42,18223.27,1.05766,442.25,9794.16,0.99494,4386
"32,935","35,870",8.9,58873.9,0.89701,10.5,8820.57,0.8301,480,16642.47,0.93948,234.58,9881.24,0.95589,2332.83
"37,253","39,958",7.3,73723.4,0.93767,62,11031.78,0.92639,1684.25,17410.3,1.0201,738.58,10751.38,0.95877,7745.75
"38,049","46,730",22.8,85511.69,0.91674,19.92,10302.83,0.8494,193,19558.82,1.04306,181.17,9723.59,0.92353,762.67
"34,694","35,573",2.5,90342.93,0.95114,14.33,10555.24,0.87477,484.83,19439.26,1.00873,234.17,10873.88,1.03991,1727.17
"80,623","88,841",10.2,113567.4,0.99252,1163.42,13422.4,0.96904,11548.75,13941.12,0.79235,23667.25,11572.44,0.93183,46656.67
"80,225","75,220",-6.2,*,*,*,8401.98,0.65652,12.42,8889.89,0.85493,14,8813.54,0.86837,134
"44,121","47,790",8.3,81660.29,0.97895,22.83,11626.31,0.89545,673.17,15728.72,0.89909,422.08,11382.46,0.88823,5499.08
"46,174","51,402",11.3,100503.53,1.00935,209,11763.6,0.95982,5719.58,18116.06,1.00983,4270.25,10771.02,0.94862,24561.83
"50,310","55,355",10.0,101390.79,0.92303,32.67,10895.1,0.862,929,19730.25,0.88789,623.33,10935.09,0.88705,7376.5
"45,180","55,498",22.8,74673.35,0.966,31,10352.24,0.9175,364,12911.11,0.81527,476,10316.94,0.93165,1716.92
"81,782","88,910",8.7,113413.91,1.01003,804.5,12700.15,0.9465,8172.42,15103.26,0.84407,9744.83,12248.13,0.95193,45673.5
"36,860","41,309",12.1,70711.52,0.92377,14.58,10106.21,0.87876,898.5,15128.86,0.94534,661.67,10190.78,0.93675,2878.75
"69,408","74,679",7.6,87833.84,0.9832,97.92,11718.95,0.90592,2339.08,17206.63,0.9142,1570.5,11000.32,0.90529,16739.83
"42,987","48,312",12.4,81749.1,0.97292,917.75,11852.12,1.0089,9490.25,13220.94,0.88569,13364.58,10776.28,0.96363,40509.58
"43,581","49,454",13.5,76134.6,0.84296,35.5,11546.98,0.95427,684.67,17498.01,0.87429,735.83,10538.65,0.90781,3070
"46,285","50,693",9.5,99444.98,1.04942,71.25,9060.23,0.88161,3376.42,14884.84,0.90518,2309.42,8795.98,0.89464,15108.25
"37,904","45,021",18.8,76728.41,0.99033,453.83,13112.61,1.10097,2365.67,14471.9,0.92872,7512,10531.61,0.99459,6403.25
"58,351","60,124",3.0,83412.05,0.88158,21.42,13050.72,0.8446,297,18960.05,0.85337,329.08,12008.24,0.84608,2827.75
"39,477","44,063",11.6,96537.59,1.02965,760.08,12790.28,1.08139,9610,16171.85,0.94935,10408.33,11585.58,1.0199,28868.08
"36,599","41,397",13.1,79773.75,0.99438,166.08,10972.09,0.95431,1590.67,13558.71,0.84995,2202.17,10926.84,0.97756,5829.58
"40,457","44,403",9.8,102296.1,1.02663,85.17,12367.79,0.92551,2339.83,19817.62,0.95864,2190.42,11623.56,0.93409,7467.75
"33,092","37,634",13.7,104271.76,1.11046,12.25,10030.06,0.81191,557.58,15404.65,0.84383,405,9443.81,0.8445,2558.42
"63,252","68,541",8.4,104843.7,1.03361,8302.75,17373.9,1.16873,54658.08,21003.17,1.00404,149178.67,12503.69,1.01444,252441.5
"39,388","44,072",11.9,80349.5,1.01227,136.92,10199.9,0.8822,1651.25,11998.24,0.87284,2309.42,10026.34,0.94263,7086.42
"139,891","148,419",6.1,118034.39,0.99324,85.75,12666.63,0.87846,1506.67,16263.73,0.82961,2073.08,11579.65,0.90363,20507.67
"54,375","57,964",6.6,77465.4,1.07397,9,11299.82,0.89681,396.58,12311.41,0.85681,309.83,10167.69,0.89314,2551.83
"48,013","53,087",10.6,91606.05,0.92742,105.5,11698.86,0.90227,2431.33,15846.34,0.84103,2422.42,9533.26,0.81137,11623.33
"38,626","43,980",13.9,94159.57,0.979,352.58,11790.51,0.95676,3688.92,12851.18,0.8536,5738.67,10277.91,0.9587,14733
"46,245","52,459",13.4,*,*,*,10099.49,0.76064,269.17,16376.44,0.89633,229.67,10758.15,0.85868,1361.42
"55,369","61,649",11.3,*,*,*,12149.76,0.90211,61.17,17064.24,0.72866,86.5,9915.79,0.75984,1096.92
"56,313","61,105",8.5,110158.94,0.95029,401.67,11871.32,0.92326,4528.67,14616.41,0.79099,6918.67,11036.16,0.89259,31683.83
"74,379","82,643",11.1,110486.75,1.08301,81.25,12157.42,0.86526,1653.92,15339.36,0.85611,1776.42,12307.37,1.02732,9102
"70,539","75,737",7.4,95529.35,1.00878,1831.17,17461.62,1.15272,11881.67,15142.95,0.88162,37067.42,12145.23,1.01918,121031.17
"68,351","73,261",7.2,91760.47,0.97107,169.33,11946.42,0.87852,3043,15563.81,0.90271,2128.42,11042.83,0.94787,25460.17
"50,296","54,185",7.7,85326.31,1.08534,14.33,12436.06,0.93995,585,16467.5,0.88654,413.42,9754.88,0.807,3607.83
"43,295","47,702",10.2,91177.2,0.99196,1367.92,14347.1,1.11323,12264.58,18517.06,1.00241,11880.33,12117.68,1.0452,72952.08
"53,005","57,991",9.4,96965.55,0.98661,1239.42,12405.07,0.96921,16220,14031.81,0.88947,13742.67,10942.41,1.00183,44952.75
"54,370","61,564",13.2,119663.76,0.95603,71.25,12081.51,0.88952,609.17,16672.71,0.88473,780.92,11184.17,0.89445,4207.5
"41,253","45,499",10.3,97267.95,0.99477,1472.75,14530.48,1.13457,12908.17,19620.09,1.03054,12418.67,11776.4,1.08605,36523.75
"62,533","67,830",8.5,90282.59,0.98719,2136.33,15755.99,1.0974,18395.17,17785.47,0.96561,20100.83,11544.76,0.98032,122975.75
